Reward,Total Success,Total Congestion,N_Average Delay,Total Average Delay,Mean Slot Energy,Backoff Indicator,MaxTx
-1.639930752,0.89868,0.339559173,0.100602897,123.6390706,0.67280648,20,10
-1.401371094,0.98674,0.089754404,0.3270865,41.53148752,0.42632303,14,2
-1.927846073,0.5991,0.56278273,0.188427208,1632.763312,0.2939124,271,32
-1.73853804,0.81326,0.454747233,0.273860921,429.1606866,0.35805257,301,2
-1.930248373,0.611,0.55064932,0.18863026,1635.447627,0.30002579,242,34
-1.759469464,0.58542,0.524823927,0.096117233,451.9304773,0.3477999,143,8
-1.762129546,0.75632,0.496147298,0.264949278,519.078882,0.33647911,380,2
-1.600330976,0.9655,0.277196444,0.081899886,82.11040911,0.80117131,10,12
-1.738169459,0.81568,0.451399642,0.275212277,428.4423548,0.35819251,301,2
-1.400802299,0.98544,0.090116139,0.32681983,41.51148725,0.42468837,14,2
-1.377437266,0.98034,0.084329102,0.306752419,35.40514515,0.42432474,10,2
-1.748351064,0.79332,0.47069805,0.270161742,464.1176827,0.34987051,330,2
-1.481286062,0.99456,0.136373154,0.309293988,71.12644788,0.42672354,34,2
-1.938440012,0.63208,0.536301184,0.186580015,1660.769934,0.31535809,182,14
-1.571690846,0.99736,0.213940193,0.302249672,130.3436272,0.42525578,74,2
-1.377083243,0.9813,0.081728534,0.307495159,35.44970957,0.42299258,10,2
-1.377478055,0.98064,0.086222165,0.307486267,35.44917605,0.42398013,10,2
-1.85046099,0.54874,0.573048557,0.118096902,991.8899297,0.28277166,311,8
-1.81784711,0.5424,0.564887383,0.105902056,781.0833333,0.28867271,271,8
-1.964013508,0.69602,0.497788936,0.201288176,1805.445447,0.35487496,103,26
-1.377349096,0.98092,0.084850602,0.307765499,35.46592994,0.42347607,10,2
-1.377230801,0.98054,0.084847434,0.307777687,35.46666123,0.42306761,10,2
-1.953809523,0.6689,0.508538605,0.194681069,1733.113619,0.34089278,123,30
-1.377771202,0.97898,0.084440693,0.30876865,35.52611902,0.4235983,10,2
-1.738986334,0.65988,0.449502191,0.056013474,213.0471601,0.66990353,14,26
-1.951685323,0.66302,0.513160353,0.196403467,1730.620253,0.33561372,133,24
-1.37743423,0.98042,0.086075911,0.307562065,35.45372391,0.42376417,10,2
-1.624023475,0.99718,0.271786721,0.296798727,186.1752743,0.42100642,113,2
-1.937047235,0.624,0.538299266,0.192437298,1668.112019,0.30976886,202,24
-1.933038866,0.61564,0.538419982,0.184997781,1649.605419,0.30372354,222,38
-1.3779341,0.9804,0.084110675,0.307898137,35.47388821,0.42492404,10,2
-1.737287484,0.71568,0.418436654,0.056087831,178.2525151,0.81400197,10,28
-1.81114121,0.57538,0.512740331,0.084485108,621.4909451,0.35360394,93,14
-1.720997125,0.72996,0.411226399,0.054688663,159.7374103,0.82133464,10,26
-1.377482819,0.98074,0.084878688,0.307201705,35.43210229,0.42421102,10,2
-1.948549376,0.6493,0.520713349,0.196415982,1728.765286,0.32675823,153,32
-1.923986552,0.5873,0.566146771,0.184207991,1620.530564,0.28685431,311,22
-1.974517389,0.72762,0.476599033,0.2004737,1725.035925,0.40446696,54,24
-1.747630868,0.7911,0.471175739,0.268999034,462.1934016,0.34929065,330,2
-1.657139683,0.93096,0.334937222,0.183407369,199.4903326,0.47492651,74,4
-1.741112266,0.80888,0.456312685,0.274612114,439.9026555,0.35455001,311,2
-1.743810002,0.71282,0.421147705,0.056672893,185.0351281,0.81754709,10,28
-1.571685734,0.99756,0.21506508,0.303156769,130.6837884,0.42417688,74,2
-1.741961837,0.80292,0.464268358,0.273291438,440.6017287,0.3549684,311,2
-1.377529248,0.981,0.083475855,0.308508325,35.51049949,0.42347536,10,2
-1.553948964,0.99702,0.197289059,0.303641467,115.6834768,0.42588949,64,2
-1.377253466,0.98078,0.084112255,0.307488258,35.44929546,0.42337699,10,2
-1.645347048,0.97896,0.302762164,0.296226638,215.4718477,0.41556139,133,2
-1.37759765,0.98104,0.088270114,0.307907934,35.47447607,0.42409319,10,2
-1.377712068,0.98078,0.083443551,0.307964069,35.47784416,0.42432616,10,2
-1.572623806,0.98318,0.238968484,0.100447401,73.75278179,0.74797159,10,10
-1.984917829,0.75244,0.469038277,0.215039898,1859.891925,0.40667083,54,26
-1.745441946,0.80096,0.465617214,0.270524206,452.5439722,0.35329178,321,2
-1.921124165,0.58308,0.571755647,0.180301424,1597.341977,0.28492948,321,26
-1.533728708,0.9964,0.179024194,0.305546878,101.0253914,0.42629598,54,2
-1.377642325,0.98094,0.086321391,0.306731299,35.40387791,0.42502434,10,2
-1.377492234,0.98174,0.084062898,0.306881999,35.41291992,0.42464548,10,2
-1.50971238,0.99526,0.157062534,0.307359104,86.15579848,0.4258842,44,2
-1.732248333,0.7136,0.417364352,0.05135727,172.612528,0.81219314,10,28
-1.654158031,0.96796,0.316183703,0.293668299,228.4411753,0.41348459,143,2
-1.572969894,0.9824,0.240626964,0.101023368,73.57308632,0.75123402,10,10
-1.37718289,0.9804,0.086837955,0.307694138,35.46164831,0.42296656,10,2
-1.935754501,0.61884,0.538501781,0.189087087,1650.71243,0.30953486,202,34
-1.989764287,0.75188,0.473447862,0.214995657,1914.336676,0.40780266,54,34
-1.662006418,0.95798,0.328228904,0.293006686,242.6151485,0.4082671,153,2
-1.378108054,0.981,0.084810773,0.308960245,35.53761468,0.42477857,10,2
-1.378058919,0.9805,0.083084524,0.308058814,35.48352881,0.42517974,10,2
-1.759581904,0.6988,0.428910631,0.058367823,206.9872639,0.80550101,10,30
-1.509381003,0.9958,0.154959017,0.307117003,86.10132557,0.42531984,44,2
-1.377372531,0.98094,0.083105212,0.307716748,35.46300487,0.42357925,10,2
-1.674966297,0.8024,0.379040861,0.054325204,116.9583749,0.85641331,10,20
-1.492928669,0.98212,0.160299308,0.129904089,54.02266525,0.60107649,10,6
-1.997297572,0.78152,0.461713377,0.222100625,1943.722925,0.42821038,44,34
-1.3772181,0.9811,0.083613273,0.3070635,35.42381001,0.42363392,10,2
-1.760231258,0.7006,0.429129267,0.052399761,208.5211248,0.80375439,10,30
-1.675368416,0.93918,0.347801011,0.290890693,267.1659959,0.40161784,172,2
-1.727115709,0.83924,0.434455876,0.276062621,392.4451647,0.36760822,271,2
-1.754509524,0.77542,0.482626248,0.267792086,486.9751103,0.34428153,350,2
-1.738790836,0.81992,0.454924098,0.274721073,430.4552151,0.35869969,301,2
-1.859264877,0.69232,0.441975621,0.079881403,417.2058297,0.76926012,10,38
-1.71940538,0.86048,0.419394794,0.281697679,370.5305876,0.37371353,251,2
-1.443309735,0.98162,0.118518173,0.191334053,45.70010798,0.51069728,10,4
-1.534160066,0.98262,0.200652166,0.119121236,62.86167593,0.67953562,10,8
-1.917546483,0.5689,0.585071444,0.183906523,1589.400773,0.27751638,380,40
-1.933853782,0.61594,0.545804022,0.185661913,1654.538072,0.30449742,222,16
-1.443849819,0.98118,0.121319566,0.199693402,45.95554333,0.50962792,10,4
-1.640354803,0.95738,0.3089305,0.190663582,177.1574088,0.48421184,64,4
-1.702073494,0.7467,0.403718002,0.052808391,139.5154681,0.83644963,10,24
-1.553974916,0.99716,0.195178521,0.305065771,116.1463757,0.42430081,64,2
-1.703031167,0.74496,0.405886195,0.050605305,139.717864,0.83981179,10,24
-1.377695119,0.97984,0.08523523,0.307659074,35.45954442,0.42431911,10,2
-1.824634891,0.61238,0.481669814,0.072544985,499.4241484,0.49073768,24,28
-1.377358992,0.98106,0.08430694,0.307777642,35.46665851,0.42352094,10,2
-1.738487799,0.71118,0.426594713,0.055445869,178.3474788,0.81818211,10,28
-1.745648775,0.80088,0.465334329,0.273351501,454.3624014,0.35234399,321,2
-1.720839232,0.85768,0.422897356,0.282962265,372.1176429,0.37517006,251,2
-1.377653904,0.98088,0.082877373,0.306916578,35.4149947,0.42491567,10,2
-1.3770346,0.98032,0.083182753,0.306843684,35.41062102,0.42313205,10,2
-1.377765406,0.98088,0.084269396,0.307451812,35.44710872,0.42485266,10,2
-1.600734253,0.99766,0.247447153,0.30494734,158.8005132,0.42316828,93,2
-1.692317922,0.77784,0.391281676,0.060056613,131.4078474,0.84520202,10,22
-1.571532204,0.98312,0.24102575,0.096339545,73.35863374,0.74653439,10,10
-1.378399729,0.97948,0.086316033,0.308088646,35.48531874,0.42592685,10,2
-1.378041994,0.98142,0.08263718,0.308063826,35.48382955,0.42529844,10,2
-1.481209322,0.99434,0.13612429,0.310599709,71.35494901,0.42511727,34,2
-1.377337865,0.98118,0.082075659,0.307427451,35.44564708,0.4237287,10,2
-1.377452599,0.98032,0.083384787,0.307552636,35.45315815,0.42380371,10,2
-1.70663091,0.88764,0.401321242,0.286291801,334.7838989,0.3849496,222,2
-1.533058402,0.9965,0.177090245,0.305362587,100.9747115,0.42464553,54,2
-1.679049151,0.80916,0.378562131,0.064199255,121.002793,0.8532954,10,20
-1.377798553,0.97976,0.084988241,0.309193068,35.55158406,0.42352221,10,2
-1.753680008,0.5966,0.518488404,0.086922785,426.8409319,0.35660212,133,8
-1.377603126,0.98082,0.08260877,0.308581935,35.51491609,0.42359728,10,2
-1.989811715,0.76294,0.470865874,0.217916147,1921.587123,0.4085916,54,34
-1.853520272,0.68588,0.440375662,0.077103925,400.5920278,0.76885684,10,38
-1.676349462,0.9346,0.347121977,0.290394085,268.1908838,0.40186462,172,2
-1.676748303,0.80986,0.375189145,0.061036083,119.8458005,0.84879942,10,20
-1.79711219,0.5911,0.494488646,0.068134195,477.2464896,0.42346122,44,20
-1.720423308,0.85976,0.423830997,0.283062131,372.2429748,0.37437607,251,2
-1.645981711,0.88248,0.335795342,0.070806209,100.9053576,0.85031649,10,16
-1.377911261,0.98064,0.084102458,0.307581443,35.4548866,0.42512628,10,2
-1.902721416,0.5825,0.559488541,0.155615847,1385.641373,0.29090988,271,10
-1.508996388,0.99584,0.156613416,0.305946962,85.83806636,0.42553898,44,2
-1.676496485,0.8038,0.381139198,0.059495494,117.8448619,0.8592003,10,20
-1.937745984,0.6351,0.531437663,0.183756163,1668.049126,0.31304072,192,40
-1.700114189,0.8985,0.38687511,0.28865983,320.0928214,0.38757618,212,2
-1.376921786,0.98064,0.082012253,0.306532809,35.39196851,0.42309334,10,2
-1.378466523,0.98092,0.084192498,0.309801003,35.58806019,0.42518069,10,2
-1.946586675,0.64316,0.527279532,0.192074773,1719.742863,0.3232117,163,26
-1.377463074,0.98156,0.082866939,0.309205075,35.55230449,0.42290803,10,2
-1.881068699,0.57706,0.552663975,0.137339904,1172.028593,0.29737167,232,10
-1.881984586,0.70398,0.433902636,0.086398051,493.917242,0.7592639,10,40
-1.786814242,0.55046,0.553696385,0.091324487,601.0200923,0.30719421,212,8
-1.624273392,0.92218,0.309362448,0.076852607,90.39423974,0.83674982,10,14
-1.492974766,0.98074,0.159806178,0.137790512,54.20343822,0.59892866,10,6
-1.571333172,0.98308,0.237910911,0.105083432,73.21963625,0.74694142,10,10
-1.378218504,0.9803,0.085984149,0.308667415,35.52004488,0.42516394,10,2
-1.93008455,0.60456,0.553769714,0.182680865,1638.292676,0.29815081,251,22
-1.961525853,0.69192,0.499291626,0.193420157,1777.123425,0.35393744,103,26
-1.692172251,0.77394,0.391825974,0.059367874,130.3926403,0.84932127,10,22
-1.377428555,0.9813,0.083865486,0.307739733,35.46438398,0.42378586,10,2
-1.612691873,0.99822,0.261867175,0.29670566,172.7704714,0.42109416,103,2
-1.377839396,0.98086,0.083771271,0.308506481,35.51038884,0.42431787,10,2
-1.755210184,0.70392,0.424150328,0.053746296,202.9621832,0.80016435,10,30
-1.377284976,0.98074,0.082937147,0.308066698,35.48400188,0.42305385,10,2
-1.861690753,0.70064,0.436505045,0.082674678,426.6530315,0.76758631,10,38
-1.377776611,0.9807,0.086666526,0.309199211,35.55195269,0.42362939,10,2
-1.377318541,0.98044,0.085062804,0.306471244,35.38827465,0.4242081,10,2
-1.755761044,0.77244,0.488269748,0.270710652,489.3900886,0.34492326,350,2
-1.735877694,0.82148,0.450193208,0.276751608,419.6735891,0.36118147,291,2
-1.73719678,0.82144,0.449844728,0.278868506,422.7536765,0.36167585,291,2
-1.919329777,0.57654,0.578342446,0.180867064,1593.256461,0.28129462,350,16
-1.763919755,0.69926,0.429502183,0.058130482,212.6090724,0.80719583,10,30
-1.757413701,0.77042,0.484649433,0.26826188,498.5300745,0.34197084,360,2
-1.377046856,0.98172,0.08389227,0.307397561,35.44385364,0.42303624,10,2
-1.491879525,0.98262,0.163056993,0.154321694,54.03720665,0.59690646,10,6
-1.37710611,0.98106,0.086577976,0.306615633,35.39693801,0.42362711,10,2
-1.376934832,0.98062,0.085847988,0.307387163,35.44322979,0.42252949,10,2
-1.825185839,0.63344,0.465274535,0.070732665,403.9076787,0.61576617,14,34
-1.377866344,0.98172,0.082750353,0.307857638,35.47145826,0.42500582,10,2
-1.377852772,0.98186,0.082709675,0.308219434,35.49316603,0.42474018,10,2
-1.600879074,0.99802,0.246203474,0.298943487,158.9981563,0.42311363,93,2
-1.377210383,0.97982,0.084922947,0.306797847,35.40787083,0.42356299,10,2
-1.643680883,0.88176,0.339129292,0.064991917,99.214775,0.85139346,10,16
-1.377799654,0.98058,0.08331559,0.308480695,35.50884171,0.42417318,10,2
-1.568129531,0.99438,0.218361974,0.202962696,106.3035862,0.50801908,34,4
-1.377853635,0.98038,0.087419272,0.308113521,35.48681124,0.42454417,10,2
-1.601871113,0.96464,0.275090178,0.092635595,83.23445016,0.79822724,10,12
-1.709930252,0.8791,0.404807171,0.281176759,344.5709248,0.38076139,232,2
-1.377815116,0.97998,0.082883996,0.308936577,35.53619462,0.42378776,10,2
-1.836117444,0.6979,0.430974798,0.075738139,358.2003152,0.77129043,10,36
-1.447014975,0.99194,0.114350968,0.316655443,56.58193036,0.42613463,24,2
-1.756172995,0.77034,0.485909314,0.265412603,494.742685,0.34176844,360,2
-1.711113247,0.87576,0.407793564,0.284021681,346.4651503,0.38106362,232,2
-1.710310615,0.87986,0.40205884,0.28197063,345.4957834,0.38082866,232,2
-1.765451846,0.70754,0.427372935,0.061135152,216.9119484,0.80260408,10,30
-1.377916653,0.9812,0.082884559,0.308633986,35.51803914,0.42450754,10,2
-1.705099428,0.88904,0.396422596,0.285477385,332.4525106,0.38399651,222,2
-1.926562763,0.59262,0.560218634,0.183336418,1628.527117,0.29117459,281,36
-1.377462268,0.98028,0.08611702,0.307828716,35.46972294,0.42363042,10,2
-1.443337553,0.9816,0.120450231,0.185021164,45.67828036,0.51102583,10,4
-1.748831842,0.7933,0.471694986,0.271739531,465.3702256,0.35003337,330,2
-1.377975357,0.981,0.086256826,0.308948352,35.53690112,0.42441534,10,2
-1.783503133,0.60572,0.551729562,0.145361216,596.9912501,0.31183607,321,4
-1.722569789,0.72848,0.416344929,0.054557571,159.3952614,0.83104869,10,26
-1.766147102,0.74586,0.505607966,0.263222982,536.8653903,0.33234782,400,2
-1.944286035,0.70642,0.454290893,0.144005337,1181.283146,0.4790785,24,32
-1.37773167,0.98182,0.082323304,0.309505137,35.5703082,0.42349643,10,2
-1.376364812,0.98184,0.082287331,0.306475597,35.38853581,0.42180151,10,2
-1.377507787,0.98106,0.083520651,0.307527912,35.45167472,0.42411138,10,2
-1.377286341,0.98002,0.086994325,0.307279443,35.4367666,0.42347509,10,2
-1.760762059,0.70856,0.4234346,0.056575332,210.4876369,0.80226917,10,30
-1.377325653,0.98072,0.083177372,0.307999905,35.47999429,0.42321027,10,2
-1.377416237,0.9809,0.086277802,0.307809155,35.46854929,0.42362943,10,2
-1.612664046,0.99832,0.259313369,0.30268132,172.8808799,0.42076702,103,2
-1.727397942,0.84092,0.433384016,0.278167402,393.9168292,0.36720513,271,2
-1.751193505,0.78452,0.472703747,0.269774849,475.6172437,0.34640019,340,2
-1.93573463,0.61856,0.545194165,0.189636968,1673.478919,0.30522733,222,18
-1.931138224,0.60238,0.554030896,0.187432568,1644.851854,0.29868178,242,34
-1.377682131,0.98042,0.084410523,0.308837029,35.53022174,0.42356653,10,2
-1.37765776,0.97972,0.087944845,0.308581363,35.5148818,0.42354813,10,2
-1.377495855,0.98116,0.08568937,0.307819316,35.46915895,0.4238926,10,2
-1.37739085,0.98066,0.086678442,0.307340635,35.44043807,0.42384191,10,2
-1.377302774,0.9807,0.084701961,0.308560212,35.51361273,0.42275224,10,2
-1.377685636,0.98116,0.082426723,0.308563333,35.51379999,0.42390331,10,2
-1.941871979,0.63578,0.528453452,0.193112415,1697.078014,0.3162786,182,38
-1.625053508,0.92188,0.309034304,0.084821824,91.21909576,0.83341693,10,14
-1.850057289,0.69358,0.433228547,0.072875495,395.5881946,0.76399284,10,38
-1.377532213,0.98108,0.085660191,0.308090744,35.48544461,0.42378984,10,2
-1.681726068,0.8108,0.397233381,0.122474843,195.8132708,0.5383977,44,8
-1.378014339,0.98096,0.081349908,0.307778435,35.46670608,0.42533617,10,2
-1.804904995,0.5327,0.585677453,0.117123607,734.9677117,0.2801745,360,6
-1.57244188,0.9824,0.240640989,0.102628813,73.44584691,0.74990674,10,10
-1.446186831,0.99194,0.113308175,0.314381112,56.29763897,0.42592162,24,2
-1.377986687,0.98048,0.085009654,0.307419155,35.44514931,0.42542216,10,2
-1.917440682,0.56508,0.589934154,0.180206732,1597.413039,0.27534941,390,12
-1.949960909,0.6626,0.511253928,0.193777017,1712.548898,0.33525368,133,24
-1.376730418,0.9809,0.083719183,0.306769294,35.40615761,0.42244231,10,2
-1.377405763,0.98168,0.081584504,0.307449135,35.44694809,0.42399521,10,2
-1.377368074,0.98058,0.086998864,0.307289223,35.4373534,0.42379951,10,2
-1.492857059,0.98272,0.158366639,0.149022305,54.25557636,0.59841174,10,6
-1.871749734,0.69076,0.440308642,0.081075133,457.6433494,0.76086866,10,40
-1.376828004,0.98062,0.082839941,0.306194041,35.37164243,0.42306495,10,2
-1.378234525,0.98108,0.083004483,0.309626466,35.57758796,0.42468202,10,2
